log_id,timestamp,url,response_time_ms,user_agent
001,2022-04-21T08:31:31,/home,68,Chrome/91.0
002,2022-08-02T18:08:34,/products,137,Chrome/91.0
003,2022-09-04T15:13:31,/faq,193,Chrome/91.0
004,2022-12-26T21:20:29,/home,120,Mozilla/5.0
005,2022-05-13T00:24:33,/login,86,Safari/605.1.15
006,2022-12-17T00:47:19,/support,55,Mozilla/5.0
007,2022-08-24T20:46:02,/login,85,Edge/18.19041
008,2022-05-15T20:04:40,/about,81,Chrome/91.0
009,2022-10-29T20:47:12,/contact,177,Safari/605.1.15
010,2022-01-10T13:04:04,/login,187,Chrome/91.0
011,2022-11-09T12:51:09,/about,152,Safari/605.1.15
012,2022-03-15T06:16:46,/blog,183,Safari/605.1.15
013,2022-10-20T23:37:44,/contact,147,Chrome/91.0
014,2022-02-26T10:23:11,/about,60,Safari/605.1.15
015,2022-08-09T00:39:56,/contact,106,Chrome/91.0
016,2022-07-03T19:44:51,/support,188,Mozilla/5.0
017,2022-02-12T17:37:24,/about,198,Safari/605.1.15
018,2022-11-30T14:32:48,/home,50,Safari/605.1.15
019,2022-06-13T05:09:54,/faq,107,Safari/605.1.15
020,2022-08-09T12:09:51,/products,178,Safari/605.1.15
021,2022-02-19T05:38:42,/register,96,Chrome/91.0
022,2022-11-19T21:44:42,/register,68,Chrome/91.0
023,2022-05-20T07:32:40,/products,126,Edge/18.19041
024,2022-01-19T15:00:05,/home,107,Safari/605.1.15
025,2022-07-09T08:16:46,/support,198,Edge/18.19041
026,2022-06-16T17:47:14,/blog,137,Safari/605.1.15
027,2022-01-04T06:21:23,/products,169,Safari/605.1.15
028,2022-09-13T20:39:20,/faq,189,Edge/18.19041
029,2022-04-10T03:56:03,/services,160,Chrome/91.0
030,2022-05-05T15:01:43,/login,136,Edge/18.19041
031,2022-10-26T03:18:32,/register,118,Chrome/91.0
032,2022-07-20T20:14:50,/about,156,Edge/18.19041
033,2022-09-21T04:56:37,/home,72,Mozilla/5.0
034,2022-09-25T06:24:20,/blog,151,Safari/605.1.15
035,2022-05-01T17:04:15,/blog,127,Chrome/91.0
036,2022-10-18T23:52:52,/faq,165,Safari/605.1.15
037,2022-07-07T18:38:41,/about,101,Mozilla/5.0
038,2022-12-06T06:25:53,/home,196,Mozilla/5.0
039,2022-06-22T17:50:56,/register,125,Safari/605.1.15
040,2022-08-22T07:32:46,/about,110,Mozilla/5.0
041,2022-03-13T20:25:49,/home,192,Mozilla/5.0
042,2022-02-09T10:29:29,/faq,141,Edge/18.19041
043,2022-06-16T01:46:43,/blog,131,Chrome/91.0
044,2022-04-12T11:23:36,/blog,109,Edge/18.19041
045,2022-07-12T22:45:34,/register,58,Chrome/91.0
046,2022-03-12T10:04:07,/about,164,Chrome/91.0
047,2022-06-20T14:55:32,/home,186,Edge/18.19041
048,2022-01-03T01:50:29,/about,56,Mozilla/5.0
049,2022-02-15T22:17:07,/contact,127,Mozilla/5.0
050,2022-10-23T20:40:57,/blog,181,Edge/18.19041
051,2022-01-20T13:35:36,/contact,64,Chrome/91.0
052,2022-11-07T03:40:53,/support,133,Safari/605.1.15
053,2022-09-20T02:06:03,/blog,192,Safari/605.1.15
054,2022-12-12T21:41:30,/register,126,Edge/18.19041
055,2022-06-16T13:21:36,/register,155,Chrome/91.0
056,2022-12-16T10:37:08,/support,53,Chrome/91.0
057,2022-11-16T15:51:49,/register,140,Chrome/91.0
058,2022-04-26T05:22:58,/products,198,Chrome/91.0
059,2022-10-07T13:41:07,/products,144,Edge/18.19041
060,2022-09-17T14:34:37,/blog,77,Mozilla/5.0
061,2022-06-24T17:56:15,/support,186,Safari/605.1.15
062,2022-07-31T10:37:45,/products,143,Chrome/91.0
063,2022-06-22T08:20:42,/contact,75,Mozilla/5.0
064,2022-12-23T17:58:45,/blog,51,Chrome/91.0
065,2022-12-29T17:56:07,/register,87,Safari/605.1.15
066,2022-09-14T10:49:27,/support,100,Chrome/91.0
067,2022-12-08T15:30:36,/products,62,Edge/18.19041
068,2022-01-21T17:24:20,/about,65,Chrome/91.0
069,2022-07-08T09:45:54,/support,70,Mozilla/5.0
070,2022-06-17T21:06:02,/support,148,Edge/18.19041
071,2022-02-12T10:43:57,/blog,91,Chrome/91.0
072,2022-11-12T01:38:15,/faq,57,Mozilla/5.0
073,2022-09-04T03:43:16,/faq,199,Chrome/91.0
074,2022-05-17T11:29:45,/about,177,Safari/605.1.15
075,2022-09-08T05:13:05,/faq,53,Chrome/91.0
076,2022-07-23T12:15:31,/register,122,Edge/18.19041
077,2022-10-18T00:25:59,/support,138,Safari/605.1.15
078,2022-05-26T07:03:55,/register,84,Edge/18.19041
079,2022-03-14T02:56:18,/products,64,Safari/605.1.15
080,2022-10-08T16:54:03,/contact,113,Chrome/91.0
081,2022-02-19T10:24:15,/about,122,Chrome/91.0
082,2022-06-27T14:53:41,/support,170,Safari/605.1.15
083,2022-06-28T00:32:14,/blog,77,Safari/605.1.15
084,2022-08-22T14:59:53,/login,187,Edge/18.19041
085,2022-01-26T11:28:23,/products,53,Edge/18.19041
086,2022-11-21T03:11:48,/products,92,Chrome/91.0
087,2022-02-10T10:55:36,/register,166,Safari/605.1.15
088,2022-02-15T17:39:47,/support,188,Safari/605.1.15
089,2022-03-26T11:46:26,/support,199,Edge/18.19041
090,2022-02-02T02:03:03,/support,144,Mozilla/5.0
091,2022-04-30T14:59:32,/home,114,Edge/18.19041
092,2022-08-08T02:24:53,/home,86,Mozilla/5.0
093,2022-07-11T10:39:05,/support,160,Edge/18.19041
094,2022-02-27T23:53:37,/login,67,Edge/18.19041
095,2022-10-24T05:34:04,/home,192,Safari/605.1.15
096,2022-09-08T16:09:28,/contact,70,Chrome/91.0
097,2022-06-17T00:22:24,/services,101,Mozilla/5.0
098,2022-07-18T00:38:24,/services,162,Safari/605.1.15
099,2022-07-26T22:53:56,/services,176,Edge/18.19041
100,2022-01-03T16:11:41,/support,85,Mozilla/5.0
